,old_data,new_data
342,25250.0,26744.541208560346
343,22500.0,21985.96291719703
344,26590.0,28179.126502414932
345,22490.0,24191.551841810346
346,17501.0,20418.310038902797
347,13995.0,15798.972281025955
348,22995.0,18631.007732891012
349,29397.0,20945.05051385588
350,23100.0,20345.562142656185
351,28410.0,19451.7013285656
352,27941.0,17484.731532969745
353,20400.0,24922.20232827263
354,22489.0,20105.024297246477
355,20694.0,23922.641728624003
356,23785.0,23789.223572472576
357,24775.0,22182.16112096724
358,29998.0,24414.686314477818
359,25899.0,24106.406495548086
360,27104.0,21922.79728793027
361,8881.0,17755.551980528282
362,17299.0,22308.13805454201
363,19489.0,22135.55325673544
364,19999.0,17616.671641660854
365,29119.0,24891.5208862382
366,23495.0,22959.087039885344
367,24590.0,21894.103361501824
368,26095.0,21099.91449241317
369,25998.0,25558.880093338666
370,17498.0,17519.756777577102
371,22795.0,15770.561704175081
372,14500.0,20046.343107510358
373,28366.0,23858.08198958775
374,28999.0,21539.725659854244
375,25459.0,19206.80371856573
376,20900.0,22120.706282209838
377,5950.0,10658.516537259566
378,27416.0,23261.282594487304
379,19950.0,18257.857252378948
380,17998.0,22148.527376641054
381,24459.0,23800.995364637114
382,18606.0,22948.00070008193
383,25998.0,17936.68522297032
384,13999.0,19146.94180541439
385,21831.0,24305.902511299355
386,9200.0,17100.103461157065
387,24000.0,22546.340367073426
388,14991.0,19262.524907396408
389,24995.0,24767.886835960206
390,24798.0,25813.605066993274
391,29000.0,24708.955985639943
392,28842.0,28006.098136493936
393,21000.0,24747.9114636858
394,15990.0,18370.7548648871
395,17947.0,22543.73071281775
396,28950.0,19659.83414904191
397,27995.0,23914.181865702383
398,22500.0,23918.905971362256
399,5000.0,14642.880330402637
400,27500.0,19583.73808283615
401,13359.0,19561.481190751772
402,26349.0,24212.51803266909
403,19888.0,17037.66931530973
404,22000.0,22302.467086551944
405,25989.0,24572.767048810376
406,24998.0,19956.484312113607
407,24688.0,24575.921219669515
408,24600.0,24858.19397362531
409,8999.0,12539.922077980125
410,24888.0,18810.998744702898
411,20100.0,24223.278708070284
412,29624.0,27927.696897898335
413,21151.0,24834.835907660658
414,24988.0,21570.695051681483
415,29861.0,23866.314696337096
416,23690.0,23459.502727739047
417,22789.0,22287.951695159776
418,24450.0,17045.504490520572
419,15000.0,17814.700721411733
420,14800.0,16410.796954621095
421,22990.0,24947.724540958647
422,2995.0,-448.45336866169237
423,29600.0,26567.80720804888
424,3995.0,3804.5410705229733
425,20999.0,21692.124353181338
426,13900.0,16290.770946526201
427,29990.0,25191.68851549155
428,20600.0,24565.95796982525
429,22594.0,19709.01631648699
430,13999.0,18395.50746393553
431,18988.0,15320.38172039669
432,27367.0,24731.6539488188
433,25551.0,28004.67387968907
434,24305.0,20878.09972333908
435,26590.0,24171.933751669712
436,19000.0,15466.478845770005
437,8249.0,15514.681237619603
438,18500.0,16370.188466900028
439,28998.0,22042.843258310575
440,14990.0,20424.954998702044
441,15995.0,17031.253987906966
442,6988.0,12320.948807585519
443,25497.0,24824.4652576074
444,25993.0,21150.517231508624
445,18648.0,23309.931221649982
446,17219.0,19584.85171147855
447,12980.0,16210.017850685632
448,24074.0,23776.914496826008
449,18990.0,17305.27565751737
450,14911.0,18323.50235752482
451,15338.0,19137.929718951927
452,25900.0,27958.354948347667
453,5999.0,4659.06920861383
454,20950.0,24078.060491606826
455,23995.0,24895.216150923166
456,17000.0,21824.322736065835
457,24506.0,21305.18430166249
458,19480.0,20522.272436327534
459,17995.0,23192.41240580869
460,22990.0,21007.668254884426
461,20500.0,23368.18504032865
462,26682.0,25658.476883217692
463,19991.0,17435.458462965442
464,20962.0,22989.388844475383
465,27388.0,21443.795141491108
466,21995.0,19589.790594944265
467,8995.0,8385.94147293223
468,21000.0,24290.036851175828
469,13495.0,15503.677581904922
470,22650.0,24458.941336329794
471,20990.0,18364.319857111434
472,7500.0,17201.700997520238
473,23159.0,28050.235569439363
474,16990.0,17719.23124819598
475,28590.0,26514.331531719537
476,25000.0,24508.36625361163
477,25891.0,22992.3797776578
478,25900.0,24315.33301705611
479,22700.0,24850.05362597527
480,23500.0,25570.39488630346
481,29499.0,21311.942645939533
482,6980.0,8157.4040436137
483,28330.0,27758.70162201603
484,22289.0,21205.775764675345
485,10995.0,15241.933821411338
486,14999.0,17104.068534356542
487,17496.0,21475.709550796077
488,26000.0,26214.767511997372
489,14995.0,16329.631850065663
490,8500.0,26908.30759363179
491,6900.0,14188.196061156224
492,22906.0,22757.307922554202
493,27990.0,23253.603334567975
494,29000.0,25501.86306082015
495,26976.0,20841.452986366116
496,25998.0,20249.31574757723
497,20990.0,23549.985087676905
498,21881.0,20729.095627484377
499,18404.0,22035.563708377536
500,15999.0,17684.881483146222
501,23995.0,24027.328411418013
502,12998.0,15387.128339532297
503,15990.0,23250.22407399793
504,15995.0,17549.113273034338
505,23477.0,19788.095883761765
506,21250.0,19829.354538172018
507,9299.0,10638.247282105498
508,12499.0,15855.278880515601
509,22800.0,26039.999121560482
510,21153.0,16829.056556743104
511,25938.0,24345.41851152852
512,16998.0,21613.113700222922
513,13514.0,22012.078279836103
514,17287.0,23626.08644187404
515,23988.0,25517.49777218094
516,22540.0,24304.40477389074
517,15499.0,13438.916252983967
518,17990.0,20709.64841839671
519,21015.0,25175.318741400726
520,24995.0,17162.84701958811
521,3995.0,7495.996437012451
522,19995.0,24571.805743564386
523,24499.0,19365.105445429683
524,16398.0,22888.29937536316
525,28949.0,23846.749290247215
526,15988.0,14341.421316560823
527,18310.0,24049.244686619844
528,23492.0,22854.011736198096
529,10219.0,9935.205765565857
530,21900.0,17566.937146909768
531,19900.0,19777.887058827793
